Timestamp,,Which category applies to you?,"From July 1 2022 - June 30 2023 was your work for Smith College fully in-person, fully remote, or a combination of the two?

If you worked fully remotely, you can submit now!","If you worked fully in-person or a combination of remote and in-person work, from July 1 2022 - June 30 2023, how many days, per week, on average, did you commute to campus?","About how many miles is your commute (one-way) to Smith? 
(Google Maps: https://www.google.com/maps/@35.5643196,-51.8131398,3z?entry=ttu )",Which means of transportation did you mainly use to commute to Smith?,"If you chose ""Car"" above, do you use an EV (Electric Vehicle), or a Hybrid (cars that use both gas and electricity)?","If you use an EV or Hybrid, how convenient do you find the number and location of Smith's EV charging spots on campus?",(Optional) Please elaborate on your answer above.,"Are you currently, or have you ever considered buying an EV?",Would the availability of charging stations on campus impact your decision?,"(Optional) is there any other information CEEDS should know about the carbon footprint of your commute? (for example, you might share your car's gas mileage or unusual commuting circumstances)","If you were hired after July 1 2022, please select which month you were hired below:"
7/25/2023 10:16:17,3,Faculty,Combination of the two,3,1,Walking,I have an EV,4,"Very convenient if I get there early enough to find a spot!  I am new to EVs as of this spring. After purchasing, I drove to campus more frequently because it was the most convenient place to charge. Now that I know more of the chargers around town, I plan to return to walking most of the time and driving only if needed because of schedule or urgent charging requirement (eg because of upcoming travel).  One note: I don’t understand the pricing at all. It claims to be free for the first two hours but isn’t. There doesn’t seem to be a rate change at the 2-hour mark even though I get a notification that there is. I’ve used ChargePoint elsewhere (eg Williams College) and it’s been actually free. Williams also had a waitlist feature if the chargers were full. TL;DR: get more chargers, clarify pricing, consider waitlist feature. ",,It should have :),,
9/19/2023 12:08:22,5,Faculty,Combination of the two,3,1,Walking,,,,Yes,No,,
7/25/2023 9:22:22,6,Faculty,Fully in-person,3,1.5,Walking,,,,Yes,yes,,
7/26/2023 13:52:46,14,Faculty,Fully in-person,4,0.5,Walking,,2,More chargers would be great and a price scale to account for peak vs. off-peak hours.,Yes,,,
9/19/2023 11:05:41,15,Faculty,Fully in-person,4,0.5,Walking,I don't have either,,,Yes,,,
9/19/2023 10:58:36,29,Faculty,Fully in-person,5,0.5,Walking,,,,No,,,
9/19/2023 12:03:45,30,Faculty,Fully in-person,5,,,,,,,,,
,,,,,0.8333333333,,,,,,,,
,,,,4.233333333,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,Bicycle,6.7%,,,,,,,,,
,,,Solo Car,53.3%,,,,,,,,,
,,,Carpool,6.7%,,,,,,,,,
,,,Walk,20.0%,,,,,,,,,
,,,EV,13.3%,EV mileage:,24.3,,,,,,,
,,,,,,,,,,,,,
,,,,100.0%,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
